Wol	Jak	KJZ	KJZest
40000	30	8.49	9.408543899430375
40000	20	8.09	8.489549446562748
40000	10	7.57	7.572054169720509
50000	10	7.54	7.541670311698404
50000	20	8.06	8.06046868912658
50000	30	8.46	8.456822913722723
50000	40	8.76	8.771138258924335
50000	50	9.03	9.030941580200167
50000	60	9.34	9.292240262804123
50000	70	9.77	9.726848271579954
50000	80	10.45	10.527316265707348
50000	90	11.49	11.699213703194118
50000	100	13.06	13.06077025933323
60000	100	13.05	0.8474258910644945
60000	90	11.48	-0.016068531285555743
60000	80	10.44	-0.8785100971902926
60000	70	9.76	-1.7398225127044062
60000	60	9.33	-2.5999752602497685
60000	50	9.02	-3.459105668927944
60000	40	8.75	-4.317061150848306
60000	30	8.45	-5.173963776323356
60000	20	8.05	-6.029706733829657
60000	10	7.53	-6.884473128835957
70000	10	7.53	7.530928535610151
70000	20	8.05	8.19726414448364
70000	30	8.45	8.865003561950877
70000	40	8.75	9.533750059496239
70000	50	9.02	10.203503637119727
70000	60	9.33	10.874294812399464
70000	70	9.76	11.546367725960451
70000	80	10.44	12.21941720202144
70000	90	11.48	12.893748416363678
70000	100	13.05	13.56896464047154
80000	100	13.07	21.457251436753587
80000	99	12.89	21.377477006725613
80000	90	11.5	20.660209040770724
80000	80	10.46	19.86389906666286
80000	70	9.78	19.06853513747687
80000	60	9.35	18.27362897196276
80000	50	9.04	17.479699368948648
80000	40	8.77	16.686380117497034
80000	30	8.47	15.893915358232922
80000	20	8.07	15.102091468109435
80000	10	7.55	14.311122070173447
90000	10	7.58	8.892218925041966
90000	20	8.1	9.805868987040455
90000	30	8.5	10.720495611538942
90000	40	8.8	11.636098798537429
90000	50	9.07	12.552556477723417
90000	60	9.38	13.470295895190654
90000	70	9.81	14.388645664220391
90000	80	10.49	15.30791096059388
90000	90	11.53	16.22796971399862
90000	100	13.1	17.149127100215857
110000	100	13.21	196.86167481388824
110000	90	11.64	195.81643295501476
110000	80	10.6	194.77204558832878
110000	70	9.92	193.7283906435178
110000	60	9.49	192.68552915573804
110000	50	9.18	191.64321698436456
110000	40	8.91	190.60200344580358
